Column1,Column2,Column3
4000.0,2.5e-6,0.0056208
4000.0,2.6e-6,0.0056391
4000.0,2.8e-6,0.0051393
4000.0,2.8e-6,0.0050643
4000.0,2.8e-6,0.0051252
4000.0,2.6e-6,0.0050488
4000.0,2.7e-6,0.005067
4000.0,2.7e-6,0.0050915
4000.0,2.8e-6,0.0056032
4000.0,2.7e-6,0.0056515
